Id	Label	color
24		#FFB7C5
145		#ff335e
529		#FFB7C5
586		#FFB7C5
599	Havel of Lemberka	#00eb17
757		#ff335e
806	Jaroš of Slivna	#00eb17
929		#CEFFA3
1290		#FFB7C5
1293		#FFB7C5
1316		#FFB7C5
1321		#FFB7C5
1553	Přemysl Otakar	#b700c7
1794	Sifridus sirotek	#CEFFA3
1942		#FFB7C5
1943		#FFB7C5
1984		#FFB7C5
2026		#FFB7C5
144		#5cb6ff
327		#ff335e
376		#ff335e
384		#5cb6ff
1183	Milíč of Náměšti	#ff335e
1350		#ff335e
1392		#ff335e
1817		#ff335e
1850		#ff335e
1979	Wenceslas	#b700c7
2070		#ff335e
25		#FFB7C5
332		#FFB7C5
405		#FFB7C5
580		#FFB7C5
616		#FFB7C5
701		#FFB7C5
867		#FFB7C5
974		#FFB7C5
1494		#FFB7C5
2038	Vilém of Hustopeč	#FFB7C5
2072		#FFB7C5
2128		#FFB7C5
2302		#00eb17
2303		#FFB7C5
112		#00eb17
238	Boreš,  s/o Bohuslava of Rýzmberka	#00eb17
248		#5cb6ff
330	Častolov,  s/o Smila,  b/o Jindřicha	#00eb17
518		#00eb17
541		#CEFFA3
752		#00eb17
811		#00eb17
859		#00eb17
900	Jindřich,  s/o Častolova	#00eb17
928		#CEFFA3
1025		#CEFFA3
1056		#00eb17
1095		#CEFFA3
1109		#CEFFA3
1226		#CEFFA3
1277	Ojíř of Frídberka	#00eb17
1408	Pavlík	#CEFFA3
1506		#CEFFA3
1602		#CEFFA3
1710		#CEFFA3
1791		#00eb17
1832		#00eb17
1842		#CEFFA3
2378		#CEFFA3
879		#CEFFA3
1801		#CEFFA3
642		#00eb17
695		#CEFFA3
805		#CEFFA3
268		#FFB7C5
607		#FFB7C5
612		#FFB7C5
1856		#FFB7C5
64		#FFB7C5
109		#FFB7C5
274		#FFB7C5
275		#FFB7C5
515		#FFB7C5
615		#FFB7C5
627		#FFB7C5
631		#FFB7C5
682		#FFB7C5
691		#FFB7C5
707		#ff335e
872		#FFB7C5
906		#00eb17
957		#FFB7C5
999		#FFB7C5
1049		#FFB7C5
1103		#FFB7C5
1227		#FFB7C5
1326		#FFB7C5
1340		#FFB7C5
1402		#FFB7C5
1517		#FFB7C5
1518		#FFB7C5
1646		#FFB7C5
1648		#FFB7C5
1811		#FFB7C5
1839		#FFB7C5
1844		#FFB7C5
1902		#FFB7C5
1913		#FFB7C5
1927		#FFB7C5
2169		#FFB7C5
2283		#FFB7C5
89		#CEFFA3
128		#CEFFA3
253		#CEFFA3
255		#CEFFA3
315		#CEFFA3
356		#CEFFA3
371		#CEFFA3
500		#CEFFA3
738		#CEFFA3
754		#CEFFA3
1136		#CEFFA3
1201		#CEFFA3
1202		#CEFFA3
1285		#CEFFA3
1431		#CEFFA3
1432		#CEFFA3
1442		#CEFFA3
1519		#CEFFA3
1541		#CEFFA3
1559		#CEFFA3
1654		#CEFFA3
1766		#CEFFA3
1788		#CEFFA3
1861		#5cb6ff
1869		#CEFFA3
1988		#CEFFA3
2011		#CEFFA3
2012		#CEFFA3
2135		#CEFFA3
2225		#CEFFA3
2315		#CEFFA3
2316		#CEFFA3
620		#CEFFA3
1498		#CEFFA3
1499		#CEFFA3
1974		#CEFFA3
2142		#CEFFA3
271		#CEFFA3
302		#CEFFA3
450		#CEFFA3
481		#CEFFA3
905		#CEFFA3
994		#CEFFA3
1400		#CEFFA3
1496		#CEFFA3
1653		#CEFFA3
1819		#CEFFA3
1903		#CEFFA3
1990		#CEFFA3
2065		#CEFFA3
2211		#CEFFA3
2272		#CEFFA3
2307		#CEFFA3
373		#FFB7C5
639		#FFB7C5
831		#FFB7C5
1135		#FFB7C5
1339		#FFB7C5
1490		#FFB7C5
2191		#FFB7C5
