Id	Label	color
11		#FFB7C5
75		#FFB7C5
105	Beneš of Cvilína	#FFB7C5
159	Bohuš of Čeblovic	#FFB7C5
251		#FFB7C5
290		#FFB7C5
311		#FFB7C5
318		#FFB7C5
377		#FFB7C5
483		#FFB7C5
591		#FFB7C5
648		#FFB7C5
653		#FFB7C5
654		#FFB7C5
740		#FFB7C5
844		#FFB7C5
935		#FFB7C5
999		#FFB7C5
1015		#FFB7C5
1106		#FFB7C5
1157		#FFB7C5
1350		#ff335e
1351		#FFB7C5
1396		#FFB7C5
1449		#FFB7C5
1513		#FFB7C5
1691		#FFB7C5
1693		#FFB7C5
1828		#FFB7C5
1834	Smil of Střílek	#FFB7C5
1873		#FFB7C5
1899		#FFB7C5
1902	Sudomír of Žeravic	#FFB7C5
1910		#FFB7C5
1925		#FFB7C5
1936		#FFB7C5
2004		#FFB7C5
2007		#FFB7C5
2137		#FFB7C5
2170		#FFB7C5
2174		#FFB7C5
2321		#FFB7C5
163		#FFB7C5
188		#FFB7C5
204		#FFB7C5
280		#FFB7C5
306		#ff335e
329		#FFB7C5
335		#FFB7C5
368		#FFB7C5
407		#FFB7C5
462		#FFB7C5
586		#FFB7C5
597		#FFB7C5
675		#FFB7C5
691		#FFB7C5
707	Idík,  s/o Milíče	#ff335e
757	Jan of Deblína,  s/o Ratibora	#ff335e
773		#FFB7C5
799		#FFB7C5
811		#00eb17
931		#FFB7C5
994	Kuno of Kunštátu	#FFB7C5
1035		#FFB7C5
1086	Markvart of Dunajovic	#FFB7C5
1194		#FFB7C5
1260		#FFB7C5
1296		#FFB7C5
1326		#FFB7C5
1332		#FFB7C5
1337		#FFB7C5
1340		#FFB7C5
1392	Pardus	#ff335e
1398		#FFB7C5
1528		#FFB7C5
1553	Přemysl Otakar	#b700c7
1662		#FFB7C5
1752		#FFB7C5
1756		#FFB7C5
1817		#ff335e
1964		#FFB7C5
2041		#ff335e
2047		#FFB7C5
2070	Vítek of Hradce,  s/o Jindřicha	#ff335e
2166		#FFB7C5
2177		#FFB7C5
2186		#FFB7C5
2302		#00eb17
136		#FFB7C5
145		#ff335e
314		#FFB7C5
339		#FFB7C5
393		#FFB7C5
421		#FFB7C5
428		#FFB7C5
468		#FFB7C5
705		#FFB7C5
806		#00eb17
901		#FFB7C5
918		#FFB7C5
1115		#FFB7C5
1140		#FFB7C5
1141		#FFB7C5
1159		#FFB7C5
1270		#FFB7C5
1309		#FFB7C5
1362		#FFB7C5
1364		#FFB7C5
1441		#FFB7C5
1455		#FFB7C5
1471		#FFB7C5
1507		#FFB7C5
1512		#FFB7C5
1583		#FFB7C5
1710		#FFB7C5
1724		#FFB7C5
1730		#FFB7C5
1832		#00eb17
1854		#FFB7C5
1869		#FFB7C5
1969		#FFB7C5
1980		#FFB7C5
2038		#FFB7C5
2058		#FFB7C5
2151		#FFB7C5
2326		#FFB7C5
467		#FFB7C5
622		#FFB7C5
659		#FFB7C5
1405		#FFB7C5
1689		#FFB7C5
30		#FFB7C5
55		#FFB7C5
118		#FFB7C5
415		#FFB7C5
543		#FFB7C5
587		#FFB7C5
802		#FFB7C5
951		#FFB7C5
1011		#FFB7C5
1084		#FFB7C5
1087		#FFB7C5
1355		#FFB7C5
1416		#FFB7C5
1418		#FFB7C5
1952		#FFB7C5
2192		#FFB7C5
2233		#FFB7C5
64		#FFB7C5
246		#FFB7C5
957		#FFB7C5
62		#FFB7C5
232		#FFB7C5
238		#00eb17
265		#FFB7C5
282		#FFB7C5
333		#FFB7C5
379		#FFB7C5
615		#FFB7C5
853		#FFB7C5
1276		#FFB7C5
1419		#FFB7C5
1506		#FFB7C5
1780		#FFB7C5
2043		#FFB7C5
2253		#FFB7C5
2317		#FFB7C5
766		#FFB7C5
798		#FFB7C5
1956		#FFB7C5
2054		#FFB7C5
2060		#FFB7C5
684		#FFB7C5
1065		#FFB7C5
181		#FFB7C5
319		#FFB7C5
398		#FFB7C5
403		#FFB7C5
1238		#FFB7C5
1908		#FFB7C5
929		#FFB7C5
1514		#FFB7C5
642		#00eb17
155		#FFB7C5
378		#FFB7C5
400		#FFB7C5
402		#FFB7C5
663		#FFB7C5
667		#FFB7C5
709		#FFB7C5
860		#FFB7C5
1229		#FFB7C5
1658		#FFB7C5
2184		#FFB7C5
2344		#FFB7C5
