Id	Label	color
25		#CEFFA3
602		#CEFFA3
806	Jaroš of Slivna	#00eb17
1281		#CEFFA3
1340		#FFB7C5
1498		#FFB7C5
1710		#FFB7C5
1832		#00eb17
1979	Wenceslas	#b700c7
2070	Vítek of Hradce,  s/o Jindřicha	#ff335e
2071		#CEFFA3
2167		#CEFFA3
2205		#CEFFA3
64		#FFB7C5
69		#FFB7C5
145	Boček of Jaroslavic	#ff335e
159	Bohuš of Čeblovic	#FFB7C5
163		#FFB7C5
207		#FFB7C5
233		#FFB7C5
238		#00eb17
246		#FFB7C5
265		#5cb6ff
322		#FFB7C5
329		#FFB7C5
330		#00eb17
333		#FFB7C5
342		#FFB7C5
368		#FFB7C5
400		#FFB7C5
407		#FFB7C5
431		#FFB7C5
494		#FFB7C5
520		#FFB7C5
539		#FFB7C5
571		#FFB7C5
599	Havel of Lemberka	#00eb17
757	Jan of Deblína,  s/o Ratibora	#ff335e
773		#FFB7C5
782		#FFB7C5
811		#00eb17
821		#FFB7C5
846		#FFB7C5
853		#FFB7C5
897		#FFB7C5
928		#FFB7C5
957		#FFB7C5
1058		#FFB7C5
1063		#FFB7C5
1086		#FFB7C5
1090		#FFB7C5
1132		#FFB7C5
1173		#FFB7C5
1256		#FFB7C5
1296		#FFB7C5
1506		#FFB7C5
1553	Přemysl Otakar	#b700c7
1605		#FFB7C5
1637		#FFB7C5
1662		#FFB7C5
1780		#FFB7C5
1784		#FFB7C5
1811		#FFB7C5
1839		#FFB7C5
2026		#FFB7C5
2043		#FFB7C5
2068		#FFB7C5
2074		#FFB7C5
2151		#FFB7C5
2237		#FFB7C5
2253		#FFB7C5
2269		#FFB7C5
2301		#FFB7C5
2302	Zdeslav of Šternberka,  s/o Diviše	#00eb17
2317		#FFB7C5
253		#FFB7C5
514		#00eb17
1350		#ff335e
1409		#FFB7C5
1640		#FFB7C5
105	Beneš of Cvilína	#FFB7C5
1183	Milíč of Náměšti	#ff335e
1404		#FFB7C5
1646		#FFB7C5
2304		#FFB7C5
2379		#FFB7C5
2380		#FFB7C5
2381		#FFB7C5
2382		#FFB7C5
2386		#FFB7C5
2392		#FFB7C5
2394		#FFB7C5
2405		#FFB7C5
2073		#FFB7C5
2390		#FFB7C5
2395		#FFB7C5
2406		#FFB7C5
2407		#FFB7C5
2408		#FFB7C5
263		#CEFFA3
264		#CEFFA3
417		#CEFFA3
559		#CEFFA3
1190		#CEFFA3
1244		#CEFFA3
1314		#CEFFA3
1416		#CEFFA3
1622		#CEFFA3
2087		#CEFFA3
62		#FFB7C5
103		#FFB7C5
178		#FFB7C5
403		#FFB7C5
436		#FFB7C5
618		#FFB7C5
803		#FFB7C5
1454		#FFB7C5
1534		#FFB7C5
2056		#FFB7C5
2279		#FFB7C5
75		#FFB7C5
126		#FFB7C5
144		#FFB7C5
165		#FFB7C5
168		#FFB7C5
415		#FFB7C5
586		#FFB7C5
691		#FFB7C5
707		#ff335e
740		#FFB7C5
753		#FFB7C5
754		#FFB7C5
802		#FFB7C5
855		#FFB7C5
994	Kuno of Kunštátu	#FFB7C5
1083		#FFB7C5
1084		#FFB7C5
1099		#FFB7C5
1195		#FFB7C5
1260		#FFB7C5
1392		#ff335e
1511		#FFB7C5
1691		#FFB7C5
1757		#FFB7C5
1817		#ff335e
1828		#FFB7C5
1834		#FFB7C5
1902		#FFB7C5
1947		#FFB7C5
1969		#FFB7C5
2109		#FFB7C5
2186		#FFB7C5
2198		#FFB7C5
2236		#FFB7C5
2388		#FFB7C5
2391		#FFB7C5
2396		#FFB7C5
2397		#FFB7C5
2398		#FFB7C5
2400		#FFB7C5
2401		#FFB7C5
2402		#FFB7C5
2403		#FFB7C5
2404		#FFB7C5
160		#FFB7C5
591		#FFB7C5
1130		#FFB7C5
1406		#FFB7C5
1693		#FFB7C5
1966		#FFB7C5
280		#FFB7C5
318		#FFB7C5
388		#FFB7C5
423		#FFB7C5
521		#FFB7C5
524		#FFB7C5
831		#FFB7C5
1158		#FFB7C5
2383		#FFB7C5
2384		#FFB7C5
2387		#FFB7C5
2389		#FFB7C5
997		#FFB7C5
1591		#FFB7C5
2133		#FFB7C5
2172		#FFB7C5
