Id	Label	color
47		#CEFFA3
269		#CEFFA3
376	Crh,  b/o Častolova	#ff335e
458		#CEFFA3
776		#CEFFA3
1110		#CEFFA3
1219		#CEFFA3
1299		#CEFFA3
1340		#CEFFA3
1498		#CEFFA3
1569		#CEFFA3
1696		#CEFFA3
1726		#CEFFA3
1904		#CEFFA3
1979	Wenceslas	#b700c7
2052		#CEFFA3
59		#CEFFA3
64		#FFB7C5
77	Beneda Bludone	#FFB7C5
79		#FFB7C5
88		#FFB7C5
105		#FFB7C5
144	Blud,  s/o Onše	#FFB7C5
145	Boček of Jaroslavic	#ff335e
159	Bohuš of Čeblovic	#FFB7C5
238		#00eb17
248		#CEFFA3
293		#FFB7C5
310		#FFB7C5
319		#FFB7C5
327		#ff335e
413		#FFB7C5
428		#FFB7C5
482		#CEFFA3
530		#FFB7C5
531		#FFB7C5
599		#00eb17
642		#00eb17
707		#ff335e
777		#FFB7C5
811		#00eb17
844		#FFB7C5
900		#00eb17
906		#00eb17
929		#FFB7C5
957		#FFB7C5
970		#CEFFA3
994		#FFB7C5
999		#FFB7C5
1077		#FFB7C5
1103		#FFB7C5
1158		#CEFFA3
1173		#FFB7C5
1183	Milíč of Náměšti	#ff335e
1217		#FFB7C5
1250		#FFB7C5
1256		#FFB7C5
1315		#FFB7C5
1350		#ff335e
1392	Pardus	#ff335e
1439		#CEFFA3
1506		#CEFFA3
1553	Přemysl Otakar	#b700c7
1606		#FFB7C5
1801	Sláva	#FFB7C5
1817		#ff335e
1827		#FFB7C5
1832		#00eb17
1834	Smil of Střílek	#FFB7C5
1842		#FFB7C5
1869		#FFB7C5
1902		#FFB7C5
1999		#FFB7C5
2066		#FFB7C5
2070	Vítek of Hradce,  s/o Jindřicha	#ff335e
2156		#FFB7C5
2170		#FFB7C5
2302		#00eb17
326		#CEFFA3
328		#CEFFA3
330		#00eb17
1086		#CEFFA3
1227		#CEFFA3
2084		#CEFFA3
2151		#CEFFA3
757		#ff335e
1710		#5cb6ff
423		#FFB7C5
524		#FFB7C5
555		#FFB7C5
688		#FFB7C5
845		#FFB7C5
981		#FFB7C5
1004		#FFB7C5
1069		#FFB7C5
1111		#FFB7C5
1398		#FFB7C5
1691		#FFB7C5
1850		#ff335e
1876		#FFB7C5
1908		#FFB7C5
1912		#FFB7C5
1967		#FFB7C5
2007		#FFB7C5
2121		#FFB7C5
696		#FFB7C5
1811		#FFB7C5
2186		#FFB7C5
97		#FFB7C5
410		#FFB7C5
753		#FFB7C5
1036		#FFB7C5
1872		#FFB7C5
103		#FFB7C5
586		#FFB7C5
861		#FFB7C5
1794		#FFB7C5
2043		#FFB7C5
2377		#FFB7C5
2378		#FFB7C5
2380		#FFB7C5
2381		#FFB7C5
2383		#FFB7C5
2385		#FFB7C5
2386		#FFB7C5
2387		#FFB7C5
2388		#FFB7C5
2391		#FFB7C5
2392		#FFB7C5
2393		#FFB7C5
2394		#FFB7C5
178		#FFB7C5
315		#FFB7C5
333		#FFB7C5
403		#FFB7C5
442		#FFB7C5
578		#FFB7C5
717		#FFB7C5
1322		#FFB7C5
1470		#FFB7C5
1534		#FFB7C5
1933		#FFB7C5
2079		#FFB7C5
2203		#FFB7C5
2218		#FFB7C5
2253		#FFB7C5
242		#FFB7C5
476		#FFB7C5
827		#FFB7C5
1016		#FFB7C5
1019		#FFB7C5
1116		#FFB7C5
1384		#FFB7C5
1413		#FFB7C5
1452		#FFB7C5
1469		#FFB7C5
1486		#FFB7C5
1542		#FFB7C5
1621		#FFB7C5
1769		#FFB7C5
1862		#FFB7C5
1960		#FFB7C5
2106		#FFB7C5
87		#5cb6ff
158		#5cb6ff
188		#5cb6ff
265		#5cb6ff
384		#5cb6ff
400		#5cb6ff
485		#5cb6ff
645		#5cb6ff
661		#5cb6ff
864		#5cb6ff
925		#5cb6ff
1075		#5cb6ff
1197		#5cb6ff
1312		#5cb6ff
1314		#5cb6ff
1412		#5cb6ff
1545		#5cb6ff
1571		#5cb6ff
1581		#5cb6ff
1613		#5cb6ff
1646		#5cb6ff
1663		#5cb6ff
1664		#5cb6ff
1686		#5cb6ff
2053		#5cb6ff
2182		#5cb6ff
2183		#5cb6ff
2188		#5cb6ff
2254		#5cb6ff
90		#FFB7C5
201		#FFB7C5
316		#FFB7C5
364		#FFB7C5
367		#FFB7C5
387		#FFB7C5
424		#FFB7C5
470		#FFB7C5
815		#FFB7C5
893		#FFB7C5
998		#FFB7C5
1018		#FFB7C5
1444		#FFB7C5
1453		#FFB7C5
1460		#FFB7C5
1473		#FFB7C5
1483		#FFB7C5
1631		#FFB7C5
1655		#FFB7C5
1742		#FFB7C5
1829		#FFB7C5
1863		#FFB7C5
1997		#FFB7C5
2002		#FFB7C5
2134		#FFB7C5
2141		#FFB7C5
